Spanish,English
española,Spanish
méxico,Mexico
fuerza,strength
solo,only
único,unique
acción,action
amor,love
policía,policeman
puerta,gate
pesar,to weigh
zona,zone
sabe,knows
interior,inside
tampoco,either
música,music
ningún,none
vista,view
buen,good
hubiera,had
saber,to know
obras,plays
razón,reason
ex,ex
niños,kids
presencia,presence
tema,theme
dinero,money
comisión,commission
hijo,son
última,last
ciento,hundred
hablar,speak
dio,it gave
minutos,minutes
camino,road
seis,six
quién,who
papel,paper
demás,the rest
barcelona,Barcelona
idea,idea
especial,special
diferentes,different
dado,given
base,base
capital,capital
ambos,both of them
libertad,freedom
espacio,space
medios,media
ir,to go
actual,current
población,population
estudio,study
salud,Health
servicios,services
haya,is
principio,beginning
siendo,being
cultura,culture
anterior,previous
alto,tall
mediante,through
primeros,first
arte,art
paz,peace
sector,sector
imagen,image
medida,measure
datos,data
interés,interest
julio,July
miembros,members
ninguna,none
existe,exists
cara,expensive
edad,age
etc,etc
movimiento,movement
visto,viewed
llegó,I arrive
actividad,exercise
bueno,Okay
uso,use
niño,little boy
difícil,hard
futuro,future
mes,month
pronto,early
hacía,towards
nuevos,new
nuestros,our
estaban,They were
sigue,follow
cerca,close
resultados,results
educación,education
atención,attention
gonzález,González
capacidad,ability
efecto,effect
necesario,necessary
valor,worth
aire,air
investigación,research
figura,figure
central,central
necesidad,need
serie,Serie
organización,organization
nuevas,new
calidad,quality
economía,economy
jefe,boss
estamos,we're
prensa,press
control,control
sociales,social
universidad,college
militar,military
cabo,cape
diez,ten
fuerzas,forces
congreso,congress
hijos,sons
mundial,world
dólares,Dollars
económica,economic
políticos,politicians
duda,doubt
recursos,means
pública,public
crisis,crisis
próximo,next
tenemos,we have
decisión,decision
varias,several
popular,popular
tenido,Dyed
apenas,barely
época,epoch
banco,bank
presente,Present
menor,minor
quiero,I want
resultado,result
televisión,TV
encuentra,find
gracias,Thank you
ministerio,ministry
conjunto,set
defensa,defending
alguien,someone
queda,remains
hacen,make
pasa,happens
resto,rest
causa,cause
seguir,continue
allá,there
palabra,word
voy,I go
cuya,whose
estudios,studies
derechos,Rights
importancia,importance
cuales,which
contrario,contrary
garcía,Garcia
fuerte,strong
sol,sun
jóvenes,youths
apoyo,support for
habría,there would be
civil,civil
miguel,Michael
pedro,Pedro
partidos,matches
libre,free
fuentes,sources
común,common
dejar,let
cine,cinema
comunicación,communication
b,b
experiencia,experience
demasiado,too
plan,plan
respuesta,response
energía,Energy
izquierda,left
función,function
principal,major
naturaleza,nature
podemos,can
especialmente,especially
rey,king
domingo,Sunday
favor,favour
cantidad,amount
clase,class
españoles,Spanish people
conocer,know
teatro,theater
importantes,important
evitar,avoid
color,color
actividades,activities
mesa,table
p,p
decía,He said
cuyo,whose
debido,due
alta,high
secretario,secretary
parecía,looked like
natural,natural
elementos,items
hubo,there was
objetivo,objective
formas,shapes
única,only
pueda,I can
origen,source
blanco,white
mismos,same
lleva,carries
económico,economic
ayuda,aid
silencio,silence
pensar,to think
república,republic
sangre,blood
encuentro,meeting
siquiera,even
reunión,meeting
haciendo,making
suelo,I usually
viejo,old
encima,over
resulta,result
tomar,drink
bastante,Quite
pudo,could
amigos,friends
sur,south
pocos,few
medidas,measures
partes,Parties
iglesia,church
tratamiento,treatment
existencia,existence
cargo,position
américa,America
boca,mouth
plaza,square
trabajadores,workers
viene,comes
permite,It allows
análisis,analysis
argentina,Argentina
acto,act
hechos,facts
tiempos,time
políticas,policies
radio,radio
puedo,Can I
crecimiento,increase
francia,France
amigo,dude
autoridades,authorities
realizar,realize
acciones,Actions
diario,daily
ve,go
ambiente,ambient
habrá,there will be
precisamente,precisely
especie,species
ejército,army
cambios,changes
río,river
sabía,I knew
seguro,sure
espera,wait
quería,wanted
ocho,eight
vivir,to live
región,region
formación,training
escuela,school
cuarto,fourth
valores,values
quedó,It was
participación,stake
éxito,success
baja,short
principales,main
metros,meters
marcha,March
régimen,regime
conocimiento,knowledge
estructura,structure
efectos,effects
finalmente,Finally
modelo,model
carta,letter
construcción,building
médico,medical
miedo,fear
mayores,greater
entrada,entry
humanos,humans
sean,Sean
actitud,attitude
deja,let
dejó,let
d,d
llevar,wear
negro,black
texto,text
estuvo,he was
alrededor,around
peso,weight
humano,human
pequeño,little
fecha,date
serán,will be
doctor,doctor
ideas,Ideas
vino,came
materia,matter
carrera,race
cierta,true
sola,alone
psoe,PSOE
lejos,far
juez,judge
riesgo,risk
fácil,easy
diferencia,difference
cultural,cultural
libros,books
práctica,practice
nuestras,ours
memoria,memory
llegado,arrived
plazo,term
mantener,hold
enero,January
volver,return
cuadro,frame
producto,product
produce,produces
europea,European
conciencia,awareness
tenían,They had
atrás,behind
felipe,Felipe
creación,creation
chile,Chile
precio,price
película,movie
fuego,fire
cuestión,question
supuesto,supposed
habla,speech
aspectos,aspects
cuba,Cuba
cámara,camera
vuelta,lap
mejores,top
informe,report
unidad,Unit
distintos,different
suerte,luck
tales,such
mira,look
técnica,technique
título,title
s,s
principios,beginning
octubre,october
volvió,went back
período,period
g,g
democracia,democracy
aumento,increase
fútbol,football
prueba,Test
pese,I weighed
hija,daughter
sueño,sleep
parís,Paris
capaz,capable
industria,industry
adelante,ahead
ciencia,science
asunto,affair
intereses,interests
oro,Prayed
podrá,can
pregunta,Question
oposición,opposition
entrar,get in
señaló,he pointed
santiago,Santiago
dolor,pain
zonas,zones
comercio,trade
operación,operation
tribunal,court
instituciones,institutions
temas,topics
militares,military
junio,June
marco,framework
sectores,sectors
aspecto,appearance
razones,reasons
contenido,contents
juicio,judgment
electoral,electoral
considera,considers
tendrá,will have
mucha,a lot
dicen,They say
recuerdo,memory
área,area
vio,he saw
cama,bed
aun,still
presenta,presents
pp,pp
revolución,revolution
busca,search
abril,april
rodríguez,Rodríguez
fiscal,fiscal
lópez,López
violencia,violence
primeras,first
armas,weapons
debía,should
ii,II
esfuerzo,effort
posibilidades,odds
centros,centers
profesional,professional
asimismo,likewise
grado,degree
toma,taking
carne,meat
llama,call
jorge,George
trabajar,to work
propuesta,proposal
muerto,dead
precios,prices
reforma,reform
hermano,brother
corte,court
comenzó,started
etapa,stage
obstante,However
pone,places
diversos,diverse
visita,visit
pacientes,patients
semanas,weeks
tipos,types
solamente,only
deseo,desire
sistemas,systems
encuentran,find
siguientes,following
martín,Martin
suficiente,enough
marzo,March
propios,own
jamás,Never
dan,give
club,club
instituto,Institute
constitución,Constitution
curso,grade
lenguaje,language
rosa,rose
imposible,impossible
pablo,Paul
buscar,Search
peor,worse
piel,skin
arriba,up
generales,General
aquellas,those
teoría,theory
larga,long
perdido,lost
imágenes,images
conseguir,get
máximo,maximum
noviembre,november
j,J
líder,Leader
diversas,diverse
vuelve,Come back
destino,destiny
torno,turnstile
proyectos,Projects
flores,flowers
niveles,levels
afirmó,he claimed
explicó,explained
n,n
somos,are
términos,terms
premio,reward
tercera,third
